"sku","imgUrl"
11473,https://promart.vteximg.com.br/arquivos/ids/501898-55-55/11473.jpg?v=637320810913100000
10141,https://promart.vteximg.com.br/arquivos/ids/228066-55-55/10141.jpg?v=636313077394930000
10157,https://promart.vteximg.com.br/arquivos/ids/214852-55-55/10157.jpg?v=636065373044600000
10158,https://promart.vteximg.com.br/arquivos/ids/433027-55-55/10158.jpg?v=637238594493370000
10447,https://promart.vteximg.com.br/arquivos/ids/537329-55-55/10447.jpg?v=637358782289100000
24062,https://promart.vteximg.com.br/arquivos/ids/505219-55-55/24062.jpg?v=637327727076130000
11474,https://promart.vteximg.com.br/arquivos/ids/501910-55-55/11474.jpg?v=637320811228900000
11477,https://promart.vteximg.com.br/arquivos/ids/501902-55-55/11477.jpg?v=637320811005900000
11472,https://promart.vteximg.com.br/arquivos/ids/438112-55-55/11472.jpg?v=637245641977130000
10186,https://promart.vteximg.com.br/arquivos/ids/212534-55-55/10186.jpg?v=635999771563430000
11481,https://promart.vteximg.com.br/arquivos/ids/437694-55-55/11481.jpg?v=637245616857970000
11478,https://promart.vteximg.com.br/arquivos/ids/437690-55-55/11478.jpg?v=637245616755300000
11480,https://promart.vteximg.com.br/arquivos/ids/437692-55-55/11480.jpg?v=637245616805200000
11475,https://promart.vteximg.com.br/arquivos/ids/501912-55-55/11475.jpg?v=637320811262230000
10182,https://promart.vteximg.com.br/arquivos/ids/205554-55-55/10182.jpg?v=635930817243000000
10185,https://promart.vteximg.com.br/arquivos/ids/205565-55-55/10185.jpg?v=635930817305500000
10192,https://promart.vteximg.com.br/arquivos/ids/205254-55-55/10192.jpg?v=635930815736770000
10202,https://promart.vteximg.com.br/arquivos/ids/205086-55-55/10202.jpg?v=635930814849130000
10201,https://promart.vteximg.com.br/arquivos/ids/205092-55-55/10201.jpg?v=635930814881500000
10194,https://promart.vteximg.com.br/arquivos/ids/284525-55-55/10194.jpg?v=636899274009830000
10198,https://promart.vteximg.com.br/arquivos/ids/205316-55-55/10198.jpg?v=635930816046530000
10189,https://promart.vteximg.com.br/arquivos/ids/205622-55-55/10189.jpg?v=635930817587730000
10187,https://promart.vteximg.com.br/arquivos/ids/205596-55-55/10187.jpg?v=635930817450470000
10183,https://promart.vteximg.com.br/arquivos/ids/205541-55-55/10183.jpg?v=635930817179300000
10204,https://promart.vteximg.com.br/arquivos/ids/205099-55-55/10204.jpg?v=635930814912100000
10199,https://promart.vteximg.com.br/arquivos/ids/284413-55-55/10199.jpg?v=636899271343400000
10196,https://promart.vteximg.com.br/arquivos/ids/205291-55-55/10196.jpg?v=635930815917000000
10188,https://promart.vteximg.com.br/arquivos/ids/205640-55-55/10188.jpg?v=635930817680530000
10213,https://promart.vteximg.com.br/arquivos/ids/204850-55-55/10213.jpg?v=635930813613970000
10205,https://promart.vteximg.com.br/arquivos/ids/205044-55-55/10205.jpg?v=635930814615570000
10209,https://promart.vteximg.com.br/arquivos/ids/205078-55-55/10209.jpg?v=635930814809200000
10211,https://promart.vteximg.com.br/arquivos/ids/204833-55-55/10211.jpg?v=635930813512130000
10208,https://promart.vteximg.com.br/arquivos/ids/205058-55-55/10208.jpg?v=635930814696800000
10206,https://promart.vteximg.com.br/arquivos/ids/205031-55-55/10206.jpg?v=635930814558400000
10203,https://promart.vteximg.com.br/arquivos/ids/284527-55-55/10203.jpg?v=636899274093970000
46659,https://promart.vteximg.com.br/arquivos/ids/210605-55-55/46659.jpg?v=635980469424900000
10138,https://promart.vteximg.com.br/arquivos/ids/217403-55-55/10138.jpg?v=636080678848500000
10132,https://promart.vteximg.com.br/arquivos/ids/184723-55-55/10132.jpg?v=635889745575530000
10216,https://promart.vteximg.com.br/arquivos/ids/204804-55-55/10216.jpg?v=635930813374300000
10069,https://promart.vteximg.com.br/arquivos/ids/437590-55-55/10069.jpg?v=637245610117270000
10277,https://promart.vteximg.com.br/arquivos/ids/427712-55-55/10277.jpg?v=637232637393000000
10062,https://promart.vteximg.com.br/arquivos/ids/501957-55-55/10062.jpg?v=637320811911930000
10229,https://promart.vteximg.com.br/arquivos/ids/243735-55-55/10229.jpg?v=636601973575800000
10064,https://promart.vteximg.com.br/arquivos/ids/211612-55-55/10064.jpg?v=635993443959730000
10060,https://promart.vteximg.com.br/arquivos/ids/404721-55-55/10060.jpg?v=637177460482470000
10061,https://promart.vteximg.com.br/arquivos/ids/404725-55-55/10061.jpg?v=637177460526730000
10230,https://promart.vteximg.com.br/arquivos/ids/204633-55-55/10230.jpg?v=635930812515870000
10065,https://promart.vteximg.com.br/arquivos/ids/416022-55-55/10065.jpg?v=637219799860600000
10228,https://promart.vteximg.com.br/arquivos/ids/284414-55-55/10228.jpg?v=636899271372500000
10214,https://promart.vteximg.com.br/arquivos/ids/204878-55-55/10214.jpg?v=635930813774100000
10215,https://promart.vteximg.com.br/arquivos/ids/204871-55-55/10215.jpg?v=635930813731330000
10161,https://promart.vteximg.com.br/arquivos/ids/272010-55-55/10161.jpg?v=636844633762400000
10296,https://promart.vteximg.com.br/arquivos/ids/514206-55-55/10296.jpg?v=637344932971770000
10076,https://promart.vteximg.com.br/arquivos/ids/488570-55-55/10076.jpg?v=637311409275900000
10279,https://promart.vteximg.com.br/arquivos/ids/403127-55-55/10279.jpg?v=637177377975800000
10063,https://promart.vteximg.com.br/arquivos/ids/501961-55-55/10063.jpg?v=637320811953870000
10067,https://promart.vteximg.com.br/arquivos/ids/426222-55-55/10067.jpg?v=637232589236530000
